page,link_type,text,url,extra,page_text,visible,position_hint,element_id,class_attr
https://thelenders.app,Internal Link,Explore Our Insights,https://thelenders.app/mortgage-data-analytics-insights/,,,True,unknown,,elementor-button elementor-button-link elementor-size-sm
https://thelenders.app,Internal Link,Share An Article,https://thelenders.app/submit-article/,,,True,unknown,,elementor-button elementor-button-link elementor-size-sm
https://thelenders.app,Internal Link,Privacy Policy,https://thelenders.app/privacy-policy/,,,True,unknown,,
https://thelenders.app,Internal Link,Terms & Conditions,https://thelenders.app/terms-of-use-for-thelenders-app/,,,True,unknown,,
https://thelenders.app,External Link,,https://www.facebook.com/profile.php?id=61560296249641,,,True,unknown,,ast-builder-social-element ast-inline-flex ast-facebook footer-social-item
https://thelenders.app,External Link,,https://www.linkedin.com/company/thelendersapp/,,,True,unknown,,ast-builder-social-element ast-inline-flex ast-instagram footer-social-item
https://thelenders.app,CTA Button,Opinions,https://thelenders.app/the-lenders-app-blogs/,role=,,True,unknown,,elementor-button elementor-button-link elementor-size-sm
https://thelenders.app,CTA Button,Start Now,https://thelenders.app/request-a-demo/,role=,,True,unknown,,elementor-button elementor-button-link elementor-size-sm
https://thelenders.app,CTA Button,,https://thelenders.app/the-lenders-app-blogs/,role=,,False,unknown,,elementor-button elementor-button-link elementor-size-sm
https://thelenders.app,CTA Button,,https://thelenders.app/request-a-demo/,role=,,False,unknown,,elementor-button elementor-button-link elementor-size-sm
https://thelenders.app,CTA Button,Schedule Your Free Consultation,https://thelenders.app/mortgage-analytics-call/,role=,,True,unknown,,elementor-button elementor-button-link elementor-size-sm
https://thelenders.app,CTA Button,Schedule Your Call,https://thelenders.app/mortgage-analytics-call/,role=,,True,unknown,,elementor-button elementor-button-link elementor-size-sm
https://thelenders.app,CTA Button,Explore Our Insights,https://thelenders.app/mortgage-data-analytics-insights/,role=,,True,unknown,,elementor-button elementor-button-link elementor-size-sm
https://thelenders.app,CTA Button,Share An Article,https://thelenders.app/submit-article/,role=,,True,unknown,,elementor-button elementor-button-link elementor-size-sm
